,REF_AREA,TIME_PERIOD,EPI
988,LVA,2018,45.8996686971934
994,LTU,2018,42.7454698215317
995,LUX,2018,56.682368431011355
999,MYS,2018,27.376917219137184
1006,MEX,2018,44.68467668939065
1012,MAR,2018,31.06423821675652
1014,MMR,2018,20.541767961018845
1018,NLD,2018,54.00162616366807
1020,NZL,2018,41.76155634881548
1023,NGA,2018,40.513135496811
1027,NOR,2018,47.67406778101928
1029,PAK,2018,23.772935942530115
1034,PER,2018,28.997157521818256
1035,PHL,2018,13.827953967923161
1036,POL,2018,45.56177346035101
1037,PRT,2018,47.638257147521124
1040,ROU,2018,54.43280487745431
1041,RUS,2018,34.08606061412183
1050,SEN,2018,13.51911620745625
1054,SGP,2018,33.51100622009285
1056,SVK,2018,48.137568074003134
1057,SVN,2018,55.84025642835382
1060,ZAF,2018,41.07205986701793
1061,KOR,2018,33.796645026778606
1063,ESP,2018,56.812176258588636
1069,SWE,2018,65.50412635508572
1070,CHE,2018,66.29015959720748
1075,THA,2018,33.428332306909624
1080,TUN,2018,35.92022815189729
1081,TUR,2018,24.945816405940626
1086,UKR,2018,43.646713960611706
1088,GBR,2018,66.02125486282216
1089,USA,2018,46.947569950111955
1094,VNM,2018,11.836210066165426
1104,AGO,2019,47.529579367682054
1107,ARG,2019,38.577969471112105
1110,AUS,2019,36.419888781812006
1111,AUT,2019,51.08257644897626
1115,BGD,2019,20.92509934673059
1117,BLR,2019,44.98832679004206
1118,BEL,2019,52.84574613335746
1126,BRA,2019,40.06711198421813
1128,BRN,2019,34.880688381080894
1129,BGR,2019,50.32686598495485
1133,KHM,2019,12.176753640346401
1134,CMR,2019,26.86722071172397
1135,CAN,2019,39.20114207799903
1139,CHL,2019,31.00953645578129
1140,CHN,2019,36.42598934137058
1141,COL,2019,32.96167221388406
1144,CRI,2019,39.210283735695754
1145,CIV,2019,18.25468499609045
1146,HRV,2019,50.23091661048922
1149,CYP,2019,45.448251358072405
1150,CZE,2019,50.823097639502734
1151,COD,2019,20.817867882064977
1152,DNK,2019,69.56330326266193
1157,EGY,2019,36.555057281568914
1161,EST,2019,57.713470428307915
1167,FIN,2019,66.34620189491586
1168,FRA,2019,59.94460005776503
1173,DEU,2019,56.37469034147315
1175,GRC,2019,59.02806109402296
1187,HUN,2019,46.05017367664603
1189,IND,2019,21.832073094674907
1190,IDN,2019,22.726300904141404
1193,IRL,2019,46.16915103541645
1195,ISR,2019,49.267178842050676
1196,ITA,2019,60.543652133349795
1198,JPN,2019,56.61351092015674
1200,JOR,2019,28.35329189596665
1201,KAZ,2019,20.443787930458328
1208,LVA,2019,45.9795550709813
1214,LTU,2019,45.47343339107011
1215,LUX,2019,56.19579090659454
1219,MYS,2019,27.210762987384005
1226,MEX,2019,46.30625747819292
1232,MAR,2019,29.652192367811764
1234,MMR,2019,23.48444036958987
1238,NLD,2019,56.13353655697886
1240,NZL,2019,41.90594595446143
1243,NGA,2019,45.512197965869966
1247,NOR,2019,50.92882845068269
1249,PAK,2019,22.25951334624889
1254,PER,2019,28.592033935261632
1255,PHL,2019,13.253137627296733
1256,POL,2019,47.84277864107311
1257,PRT,2019,46.079651137600095
1260,ROU,2019,54.357008136089604
1261,RUS,2019,34.997232234359146
1270,SEN,2019,15.648636975923306
1274,SGP,2019,37.78737516772892
1276,SVK,2019,50.208790711522596
1277,SVN,2019,55.646055843677665
1280,ZAF,2019,39.956589297217505
1281,KOR,2019,38.996383788394894
1283,ESP,2019,56.92567435578801
1289,SWE,2019,68.09505138275972
1290,CHE,2019,66.86491334104137
1295,THA,2019,36.74518722276453
1300,TUN,2019,38.00058337643575
1301,TUR,2019,27.520800812042587
1306,UKR,2019,45.63930326750677
1308,GBR,2019,67.79862050606094
1309,USA,2019,47.426831352822305
1314,VNM,2019,7.764129238580616
1324,AGO,2020,53.62075404600774
1327,ARG,2020,40.20937596688941
1330,AUS,2020,39.647426269642715
1331,AUT,2020,52.01566426758101
1335,BGD,2020,21.14419651026349
1337,BLR,2020,45.60914150045193
1338,BEL,2020,52.48495936145122
1346,BRA,2020,43.44789135427703
1348,BRN,2020,29.25766175420033
1349,BGR,2020,56.30626720180557
1353,KHM,2020,9.525959984242581
1354,CMR,2020,27.740092652437383
1355,CAN,2020,43.54064453916393
1359,CHL,2020,36.91585205050014
1360,CHN,2020,38.842798561832105
1361,COL,2020,33.09631290527458
1364,CRI,2020,42.322690595320644
1365,CIV,2020,24.990459477730674
1366,HRV,2020,49.46879636001084
1369,CYP,2020,43.38715427759174
1370,CZE,2020,54.56546195462726
1371,COD,2020,22.28132456265707
1372,DNK,2020,69.90840715876884
1377,EGY,2020,39.28142262701794
1381,EST,2020,73.21244639027287
1387,FIN,2020,65.56553452714505
1388,FRA,2020,63.30448135171556
1393,DEU,2020,61.53436259321819
1395,GRC,2020,62.721468592927515
1407,HUN,2020,44.353395649940985
